publication_year,total_cves,has_description,has_vendor,has_product,has_cwe,has_cvss,has_attack_vector,has_cisa_adp,has_solution,has_legacy_v4
1999,320,100.0,0.0,0.0,5.3,5.6,5.6,5.9,0.0,99.7
2000,1437,100.0,0.0,0.0,0.3,0.3,0.3,0.3,0.0,99.9
2001,1323,100.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,100.0
2002,1690,100.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,100.0
2003,1223,100.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,99.8
2004,1612,100.0,0.0,0.0,0.4,0.4,0.4,0.4,0.0,99.9
2005,6708,100.0,0.0,0.0,0.3,0.4,0.4,0.4,0.0,96.8
2006,6885,100.0,0.0,0.0,0.3,0.5,0.5,0.5,0.0,97.0
2007,7211,100.0,0.0,0.0,0.4,0.5,0.5,0.5,0.0,97.4
2008,5673,100.0,0.0,0.0,0.6,0.7,0.7,0.7,0.0,96.5
2009,5732,100.0,0.0,0.0,0.7,0.8,0.8,0.8,0.0,95.1
2010,4639,100.0,0.0,0.0,0.7,1.1,1.1,1.2,0.0,91.7
2011,4150,100.0,0.0,0.0,0.7,0.9,0.9,0.9,0.0,91.2
2012,5288,100.0,0.2,0.2,0.9,1.2,1.0,1.1,0.2,88.7
2013,5187,100.0,0.4,0.4,1.3,1.5,1.5,1.3,0.2,89.1
2014,7928,100.0,1.1,1.1,1.6,1.8,0.8,0.7,1.0,93.4
2015,6494,100.0,0.3,0.3,1.0,1.2,1.0,1.0,0.2,96.2
2016,6457,100.0,1.6,4.5,1.0,1.5,1.5,8.3,0.0,95.0
2017,14642,100.0,34.1,44.7,6.4,2.9,2.9,7.9,0.0,97.8
2018,16510,100.0,47.4,52.3,15.4,10.6,10.5,8.6,0.9,98.1
2019,17308,100.0,44.5,54.2,13.8,15.2,14.3,9.0,1.3,96.2
2020,18363,100.0,45.9,60.6,20.4,33.1,29.9,9.9,2.5,94.2
2021,20177,100.0,49.9,67.8,35.7,41.6,37.1,12.2,5.0,91.4
2022,25000,100.0,53.7,68.8,56.5,59.1,53.7,41.9,5.5,65.9
2023,28847,100.0,69.6,78.2,75.4,80.3,65.4,83.6,9.6,0.0
2024,39924,100.0,81.1,85.0,86.6,94.5,67.6,99.6,10.6,0.0
2025,48153,100.0,87.6,90.5,88.3,93.9,64.7,91.1,5.9,0.0
2026,69615,100.0,92.9,96.0,90.0,94.8,72.1,90.3,8.2,0.0
