cve_id,date_published,primary_vendor,primary_cwe,cvss_score,priority_probability,title,description
CVE-2025-25166,2025-02-07 10:12:01.447000+00:00,gabrieldarezzo,CWE-352,7.1,0.02065003751991304,WordPress InLocation plugin <= 1.8 - Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in gabrieldarezzo InLocation inlocation allows Stored XSS.This issue affects InLocation: from n/a through <= 1.8.
CVE-2025-23660,2025-01-16 20:06:31.041000+00:00,waltercerrudo,CWE-352,7.1,0.02165918516913857,WordPress MFPlugin plugin <= 1.3 - CSRF to Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in waltercerrudo MFPlugin mfplugin allows Stored XSS.This issue affects MFPlugin: from n/a through <= 1.3.
CVE-2025-23978,2025-01-31 08:23:56.021000+00:00,Ninos,CWE-352,7.1,0.023067296547837915,WordPress FlashCounter plugin <= 1.1.8 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Ninos FlashCounter flashcounter allows Stored XSS.This issue affects FlashCounter: from n/a through <= 1.1.8.
CVE-2025-23513,2025-01-16 20:06:09.380000+00:00,jd7777,CWE-352,7.1,0.0237474219182008,WordPress Bible Embed plugin <= 0.0.4 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in jd7777 Bible Embed bible-embed allows Stored XSS.This issue affects Bible Embed: from n/a through <= 0.0.4.
CVE-2025-24562,2025-01-24 17:24:28.214000+00:00,Optimal Access,CWE-352,7.1,0.02427364519272575,WordPress KBucket plugin <= 4.1.6 - CSRF to Stored Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Optimal Access KBucket kbucket allows Stored XSS.This issue affects KBucket: from n/a through <= 4.1.6.
CVE-2025-24561,2025-01-24 17:24:16.298000+00:00,awcode,CWE-352,7.1,0.024581233738844636,WordPress ReviewsTap plugin <= 1.1.2 - CSRF to Stored Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in awcode ReviewsTap reviewstap allows Stored XSS.This issue affects ReviewsTap: from n/a through <= 1.1.2.
CVE-2025-36895,2025-09-04 04:51:36.059000+00:00,Google,,7.5,0.0279838449306173,,Information disclosure
CVE-2025-23662,2025-01-16 20:06:30.409000+00:00,ryscript,CWE-352,7.1,0.029913762172974295,WordPress WP Panoramio plugin <= 1.5.0 - CSRF to Cross-Site Scripting vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in ryscript WP Panoramio wp-panoramio allows Stored XSS.This issue affects WP Panoramio: from n/a through <= 1.5.0.
CVE-2025-23511,2025-01-16 20:06:12.037000+00:00,Stargazer,CWE-352,7.1,0.03044215971210118,WordPress WP-BlackCheck plugin <= 2.7.2 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in Stargazer WP-BlackCheck wp-blackcheck allows Stored XSS.This issue affects WP-BlackCheck: from n/a through <= 2.7.2.
CVE-2025-23446,2025-03-03 13:30:03.649000+00:00,KokoenDE,CWE-352,7.1,0.03044215971210118,WordPress WP SpaceContent plugin <= 0.4.5 - CSRF to Stored Cross Site Scripting (XSS) vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in KokoenDE WP SpaceContent wp-spacecontent allows Stored XSS.This issue affects WP SpaceContent: from n/a through <= 0.4.5.
CVE-2025-30577,2025-03-24 13:47:09.435000+00:00,mendibass,CWE-352,7.1,0.033176162549192936,WordPress Browser Address Bar Color plugin <= 3.3 - Cross Site Request Forgery (CSRF) to Stored XSS Vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in mendibass Browser Address Bar Color browser-address-bar-color allows Stored XSS.This issue affects Browser Address Bar Color: from n/a through <= 3.3.
CVE-2025-46450,2025-04-24 16:08:44.315000+00:00,x000x,CWE-352,7.1,0.033756531516174096,WordPress occupancyplan plugin <= 1.0.3.0 - Cross Site Request Forgery (CSRF) to Stored XSS vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in x000x occupancyplan occupancyplan allows Stored XSS.This issue affects occupancyplan: from n/a through <= 1.0.3.0.
CVE-2025-52789,2025-06-20 15:03:43.083000+00:00,George Lewe,CWE-352,7.1,0.033756531516174096,WordPress Lewe ChordPress plugin <= 4.0.1 - Cross Site Request Forgery (CSRF) to Stored XSS Vulnerability,Cross-Site Request Forgery (CSRF) vulnerability in George Lewe Lewe ChordPress chordpress allows Stored XSS.This issue affects Lewe ChordPress: from n/a through <= 4.0.1.
