cve_id,date_published,primary_vendor,primary_cwe,cvss_score,priority_probability,title,description
CVE-2025-44176,2025-05-12 00:00:00+00:00,,,6.5,0.9952062511109854,,Tenda FH451 V1.0.0.9 is vulnerable to Remote Code Execution in the formSafeEmailFilter function.
CVE-2024-58255,2025-08-08 03:16:41.818000+00:00,Huawei,CWE-200,5.0,0.991658507666189,,EnzoH has an OS command injection vulnerability. Successful exploitation of this vulnerability may lead to arbitrary command execution.
CVE-2024-58256,2025-08-08 03:14:34.270000+00:00,Huawei,CWE-200,4.5,0.991658507666189,,EnzoH has an OS command injection vulnerability. Successful exploitation of this vulnerability may lead to arbitrary command execution.
CVE-2024-58257,2025-08-08 03:15:50.173000+00:00,Huawei,CWE-200,5.7,0.991658507666189,,EnzoH has an OS command injection vulnerability. Successful exploitation of this vulnerability may lead to arbitrary command execution.
CVE-2025-8652,2025-08-06 01:18:46.117000+00:00,Kenwood,CWE-78,6.8,0.9893806278726572,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability. This vulnerability allows physically present attackers to execute arbitrary code on affected installations of Kenwood DMX958XR devices. Authentication is not required to exploit this vulnerability. The specific flaw exists within the JKWifiService. The issue results from the lack of proper validation of a user-supplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-26311.
CVE-2025-8649,2025-08-06 01:18:21.014000+00:00,Kenwood,CWE-78,6.8,0.9893806278726572,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability. This vulnerability allows physically present attackers to execute arbitrary code on affected installations of Kenwood DMX958XR devices. Authentication is not required to exploit this vulnerability. The specific flaw exists within the JKWifiService. The issue results from the lack of proper validation of a user-supplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-26305.
CVE-2025-8651,2025-08-06 01:18:41.888000+00:00,Kenwood,CWE-78,6.8,0.9893806278726572,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability,Kenwood DMX958XR JKWifiService Command Injection Remote Code Execution Vulnerability. This vulnerability allows physically present attackers to execute arbitrary code on affected installations of Kenwood DMX958XR devices. Authentication is not required to exploit this vulnerability. The specific flaw exists within the JKWifiService. The issue results from the lack of proper validation of a user-supplied string before using it to execute a system call. An attacker can leverage this vulnerability to execute code in the context of root. Was ZDI-CAN-26307.
CVE-2025-26507,2025-02-14 17:01:13.314000+00:00,"HP, Inc.",CWE-121,6.3,0.9880227402438169,"Certain HP LaserJet Pro, HP LaserJet Enterprise, HP LaserJet Managed Printers – Potential Remote Code Execution and Potential Elevation of Privilege","Certain HP LaserJet Pro, HP LaserJet Enterprise, and HP LaserJet Managed Printers may potentially be vulnerable to Remote Code Execution and Elevation of Privilege when processing a PostScript print job."
CVE-2025-25181,2025-02-03 00:00:00+00:00,Advantive,CWE-89,5.8,0.9879631476748387,,A SQL injection vulnerability in timeoutWarning.asp in Advantive VeraCore through 2025.1.0 allows remote attackers to execute arbitrary SQL commands via the PmSess1 parameter.
CVE-2025-60672,2025-11-13 00:00:00+00:00,,,6.5,0.9840740662798381,,"An unauthenticated command injection vulnerability exists in the D-Link DIR-878A1 router firmware FW101B04.bin. The vulnerability occurs in the 'SetDynamicDNSSettings' functionality, where the 'ServerAddress' and 'Hostname' parameters in prog.cgi are stored in NVRAM and later used by rc to construct system commands executed via twsystem(). An attacker can exploit this vulnerability remotely without authentication by sending a specially crafted HTTP request, leading to arbitrary command execution on the device."
