cna,rows,prevalence,precision,recall,f1,pr_auc
Patchstack,7006,0.46331715672280904,0.6959962756052142,0.46056685150955023,0.5543196143863552,0.7465904021780654
VulDB,5901,0.12014912726656499,0.2645739910313901,0.4992947813822285,0.34587200781631655,0.25405822495445757
mitre,5203,0.5181625985008649,0.5825530943137702,0.9462166172106825,0.7211307420494699,0.6680314703652576
Wordfence,3450,0.2797101449275362,0.652332361516035,0.927461139896373,0.7659392383397519,0.8452701808107231
GitHub_M,2866,0.4937194696441033,0.5936751317680882,0.8756183745583039,0.7075956596230726,0.7605311176487425
Linux,2720,0.7,0.8222632226322263,0.7022058823529411,0.7575070821529745,0.8583787863261941
microsoft,1244,0.7363344051446945,0.8454810495626822,0.9497816593886463,0.8946015424164524,0.9531568508545827
VulnCheck,1073,0.7204100652376515,0.8648339060710195,0.9767141009055628,0.9173754556500607,0.971913866218368
adobe,829,0.3618817852834741,0.9161073825503355,0.91,0.9130434782608695,0.9799913146888506
apple,730,0.3917808219178082,0.5011286681715575,0.7762237762237763,0.6090534979423868,0.5915865752192261
ibm,606,0.21782178217821782,0.6222222222222222,0.8484848484848485,0.717948717948718,0.8313818460656154
WPScan,595,0.20672268907563024,0.5283018867924528,0.45528455284552843,0.4890829694323144,0.471860441005371
zdi,487,0.7946611909650924,0.8724373576309795,0.9896640826873385,0.927360774818402,0.9184251743424878
INCIBE,404,0.4405940594059406,0.695067264573991,0.8707865168539326,0.773067331670823,0.867939137997364
@huntr_ai,356,0.6348314606741573,0.6847457627118644,0.8938053097345132,0.7754318618042226,0.809008706326304
icscert,333,0.6906906906906907,0.726027397260274,0.9217391304347826,0.8122605363984674,0.8626057065736481
oracle,314,0.2229299363057325,0.7764705882352941,0.9428571428571428,0.8516129032258064,0.9530745577425478
redhat,300,0.38333333333333336,0.44976076555023925,0.8173913043478261,0.5802469135802469,0.4948362018103404
google_android,286,0.6503496503496503,0.8235294117647058,0.978494623655914,0.8943488943488943,0.8907812625995571
siemens,276,0.717391304347826,0.7519083969465649,0.9949494949494949,0.8565217391304348,0.9198325128282812
cisco,274,0.31386861313868614,0.49056603773584906,0.9069767441860465,0.636734693877551,0.7473736485368165
qualcomm,273,0.7802197802197802,0.806949806949807,0.9812206572769953,0.885593220338983,0.8482073213167929
intel,273,0.24175824175824176,0.40441176470588236,0.8333333333333334,0.5445544554455446,0.53448348308919
jpcert,270,0.48518518518518516,0.593607305936073,0.9923664122137404,0.7428571428571429,0.8874594400884988
fortinet,237,0.25316455696202533,0.37341772151898733,0.9833333333333333,0.5412844036697247,0.49515172529856516
SamsungMobile,234,0.12393162393162394,0.34615384615384615,0.6206896551724138,0.4444444444444444,0.6093412805322085
huawei,224,0.22767857142857142,0.22869955156950672,1.0,0.3722627737226277,0.287531641753819
dell,223,0.4663677130044843,0.5806451612903226,0.8653846153846154,0.694980694980695,0.7512434976312651
apache,218,0.5504587155963303,0.5756097560975609,0.9833333333333333,0.7261538461538461,0.661214542972786
sap,212,0.2830188679245283,0.52,0.8666666666666667,0.65,0.707648541785183
mozilla,208,0.5961538461538461,0.70625,0.9112903225806451,0.795774647887324,0.7952304165780766
TR-CERT,208,0.5673076923076923,0.7384615384615385,0.8135593220338984,0.7741935483870968,0.8721560589002587
talos,200,0.92,0.923469387755102,0.9836956521739131,0.9526315789473684,0.9806644368217752
drupal,196,0.33163265306122447,0.41228070175438597,0.7230769230769231,0.5251396648044693,0.41828163525512824
Chrome,195,0.5487179487179488,0.5698924731182796,0.9906542056074766,0.7235494880546075,0.8852184188976261
nvidia,186,0.5591397849462365,0.7716535433070866,0.9423076923076923,0.8484848484848485,0.8883502344412003
GitLab,181,0.292817679558011,0.3939393939393939,0.24528301886792453,0.3023255813953488,0.3631050738678629
CERT-PL,167,0.41916167664670656,0.5798319327731093,0.9857142857142858,0.7301587301587301,0.8380667534761364
MediaTek,162,0.37037037037037035,0.49295774647887325,0.5833333333333334,0.5343511450381679,0.7150909180074076
twcert,147,0.8027210884353742,0.8428571428571429,1.0,0.9147286821705426,0.9736746120980806
qnap,145,0.3586206896551724,0.36428571428571427,0.9807692307692307,0.53125,0.5887795059475034
Liferay,144,0.06944444444444445,0.12162162162162163,0.9,0.21428571428571427,0.5230996196785671
CERTVDE,136,0.6764705882352942,0.6976744186046512,0.9782608695652174,0.8144796380090498,0.8649574898305858
HCL,126,0.11904761904761904,0.12903225806451613,0.5333333333333333,0.2077922077922078,0.21373571063671323
Mattermost,120,0.13333333333333333,0.23214285714285715,0.8125,0.3611111111111111,0.4256804036215973
