primary_cwe,rows,prevalence,precision,recall,f1,pr_auc
MISSING,10437,0.5374149659863946,0.663752995911462,0.8393653057586022,0.7413005825854196,0.6951115172977933
CWE-79,7030,0.22091038406827881,0.4004237288135593,0.12169993560849968,0.18666666666666668,0.4677863968381826
CWE-74,2536,0.02444794952681388,0.058663028649386086,0.6935483870967742,0.10817610062893082,0.37285679113504555
CWE-862,2123,0.1902967498822421,0.3189755529685681,0.6782178217821783,0.4338875692794933,0.5967913685007061
CWE-352,1741,0.3894313612866169,0.5422885572139303,0.1607669616519174,0.24800910125142206,0.38400146436267135
CWE-89,1201,0.8026644462947544,0.8053691275167785,0.995850622406639,0.8905380333951762,0.9048735904480792
CWE-119,1070,0.6654205607476635,0.8171846435100548,0.6278089887640449,0.710087370929309,0.8514980134258254
CWE-22,895,0.5139664804469274,0.6617862371888726,0.9826086956521739,0.7909011373578303,0.8263379329983099
CWE-98,575,0.9791304347826087,0.9790940766550522,0.9982238010657194,0.9885664028144239,0.9926849594109964
CWE-284,570,0.26842105263157895,0.6179245283018868,0.8562091503267973,0.7178082191780822,0.7437162935030126
CWE-200,570,0.22807017543859648,0.3551020408163265,0.6692307692307692,0.464,0.40482233023615527
CWE-78,557,0.7971274685816876,0.8083941605839416,0.9977477477477478,0.8931451612903226,0.841016179554242
CWE-20,537,0.48417132216014896,0.6234096692111959,0.9423076923076923,0.7503828483920367,0.840147089351276
CWE-125,534,0.3951310861423221,0.5957446808510638,0.9289099526066351,0.725925925925926,0.8195905675289764
CWE-502,527,0.9032258064516129,0.9032258064516129,1.0,0.9491525423728814,0.9461228250793429
CWE-434,475,0.8463157894736842,0.8586723768736617,0.9975124378109452,0.9228998849252014,0.9480248824585109
CWE-416,475,0.8210526315789474,0.841991341991342,0.9974358974358974,0.9131455399061033,0.962740307090798
CWE-918,445,0.2606741573033708,0.33746130030959753,0.9396551724137931,0.49658314350797267,0.5144501415034377
CWE-122,424,0.8561320754716981,0.8802992518703242,0.9724517906336089,0.9240837696335078,0.9833916053453147
CWE-787,415,0.7373493975903614,0.7786666666666666,0.954248366013072,0.8575624082232012,0.9227450798217873
CWE-266,401,0.29177057356608477,0.5668449197860963,0.905982905982906,0.6973684210526315,0.8678765738586155
CWE-94,355,0.7774647887323943,0.792507204610951,0.9963768115942029,0.8828250401284109,0.9083344341992168
CWE-306,348,0.7758620689655172,0.8109756097560976,0.9851851851851852,0.8896321070234113,0.9227191850183878
CWE-863,344,0.35755813953488375,0.5235849056603774,0.9024390243902439,0.6626865671641791,0.6895092335674652
CWE-121,326,0.7423312883435583,0.7697368421052632,0.9669421487603306,0.8571428571428571,0.8847703973130797
CWE-639,313,0.3258785942492013,0.38071065989847713,0.7352941176470589,0.5016722408026756,0.5881478496397154
CWE-77,286,0.479020979020979,0.5752212389380531,0.948905109489051,0.7162534435261708,0.8600041366518794
CWE-770,278,0.4316546762589928,0.5276381909547738,0.875,0.658307210031348,0.5837364488780221
CWE-287,235,0.5106382978723404,0.6195652173913043,0.95,0.75,0.7964738470868411
CWE-476,220,0.2318181818181818,0.3217391304347826,0.7254901960784313,0.4457831325301205,0.5592617760984868
CWE-269,217,0.7188940092165899,0.7412935323383084,0.9551282051282052,0.834733893557423,0.8721622909532756
CWE-400,212,0.5188679245283019,0.5911949685534591,0.8545454545454545,0.6988847583643123,0.7710591544911232
CWE-601,190,0.1,0.2857142857142857,0.3157894736842105,0.3,0.374176765186904
CWE-427,189,0.5873015873015873,0.6488095238095238,0.9819819819819819,0.7813620071684588,0.800864997839043
CWE-497,164,0.15853658536585366,0.43243243243243246,0.6153846153846154,0.5079365079365079,0.4612703410144639
CWE-120,154,0.6428571428571429,0.6783216783216783,0.9797979797979798,0.8016528925619835,0.7798896025843653
CWE-190,151,0.5562913907284768,0.5886524822695035,0.9880952380952381,0.7377777777777778,0.865953717072863
CWE-285,150,0.4533333333333333,0.6344086021505376,0.8676470588235294,0.7329192546583851,0.8594605998878573
CWE-532,147,0.1836734693877551,0.2857142857142857,0.4444444444444444,0.34782608695652173,0.3432214463801746
CWE-362,145,0.5517241379310345,0.7090909090909091,0.975,0.8210526315789474,0.8752741023914822
CWE-288,137,0.8321167883211679,0.8507462686567164,1.0,0.9193548387096774,0.9445337488292238
CWE-201,136,0.23529411764705882,0.29850746268656714,0.625,0.40404040404040403,0.2882034857764461
CWE-276,125,0.424,0.4811320754716981,0.9622641509433962,0.6415094339622641,0.7008994351508622
CWE-732,121,0.6115702479338843,0.7029702970297029,0.9594594594594594,0.8114285714285714,0.8565257542156007
CWE-295,114,0.4649122807017544,0.5434782608695652,0.9433962264150944,0.6896551724137931,0.6937799431385613
CWE-404,113,0.23893805309734514,0.6666666666666666,0.37037037037037035,0.47619047619047616,0.5617596179595715
CWE-126,110,0.5272727272727272,0.6041666666666666,1.0,0.7532467532467533,0.9119627010861274
CWE-23,109,0.5321100917431193,0.6551724137931034,0.9827586206896551,0.7862068965517242,0.8218192244168612
CWE-73,108,0.5185185185185185,0.5930232558139535,0.9107142857142857,0.7183098591549296,0.836669631350912
CWE-798,104,0.7115384615384616,0.7448979591836735,0.9864864864864865,0.8488372093023255,0.9233378892768613
