primary_vendor,rows,prevalence,precision,recall,f1,pr_auc
MISSING,5974,0.45982591228657516,0.6079710144927536,0.9162722970513287,0.7309423551618992,0.6752931696794808
Linux,2721,0.7001102535832414,0.8223724646588814,0.7023622047244095,0.7576443941109853,0.8584935518062404
Microsoft,1254,0.7360446570972887,0.8440808469682387,0.9501625135427952,0.8939857288481141,0.9531224597002155
Adobe,829,0.3618817852834741,0.9161073825503355,0.91,0.9130434782608695,0.9799913146888506
Apple,727,0.3920220082530949,0.5022727272727273,0.775438596491228,0.6096551724137931,0.5890328328199295
IBM,606,0.21782178217821782,0.6222222222222222,0.8484848484848485,0.717948717948718,0.8313818460656154
Google,577,0.6065857885615251,0.7112970711297071,0.9714285714285714,0.821256038647343,0.8915262987879445
PHPGurukul,505,0.009900990099009901,0.13157894736842105,1.0,0.23255813953488372,1.0
SourceCodester,355,0.0028169014084507044,0.012987012987012988,1.0,0.02564102564102564,1.0
Oracle Corporation,313,0.22044728434504793,0.7738095238095238,0.9420289855072463,0.8496732026143791,0.9531340287821607
Tenda,284,0.8661971830985915,0.8883720930232558,0.7764227642276422,0.8286334056399133,0.8753159943395816
Siemens,275,0.72,0.7547892720306514,0.9949494949494949,0.8583877995642701,0.9198611428466239
"Qualcomm, Inc.",273,0.7802197802197802,0.806949806949807,0.9812206572769953,0.885593220338983,0.8482073213167929
Red Hat,266,0.38721804511278196,0.455026455026455,0.8349514563106796,0.589041095890411,0.5241810544500322
Cisco,238,0.33613445378151263,0.5793650793650794,0.9125,0.7087378640776699,0.8109762898214998
Fortinet,237,0.25316455696202533,0.37341772151898733,0.9833333333333333,0.5412844036697247,0.49515172529856516
Samsung Mobile,234,0.12393162393162394,0.34615384615384615,0.6206896551724138,0.4444444444444444,0.6093412805322085
D-Link,228,0.5570175438596491,0.5952380952380952,0.7874015748031497,0.6779661016949152,0.6183387861272371
Huawei,225,0.22666666666666666,0.22767857142857142,1.0,0.3709090909090909,0.287210964889301
Dell,223,0.4663677130044843,0.5806451612903226,0.8653846153846154,0.694980694980695,0.7512434976312651
Apache Software Foundation,218,0.5504587155963303,0.5756097560975609,0.9833333333333333,0.7261538461538461,0.661214542972786
SAP_SE,211,0.2843601895734597,0.52,0.8666666666666667,0.65,0.7076485417851832
Mozilla,207,0.5990338164251208,0.710691823899371,0.9112903225806451,0.7985865724381626,0.7974493569242431
Drupal,196,0.33163265306122447,0.41228070175438597,0.7230769230769231,0.5251396648044693,0.41828163525512824
TOTOLINK,190,0.6631578947368421,0.5,0.2619047619047619,0.34375,0.656286010388945
NVIDIA,186,0.5591397849462365,0.7716535433070866,0.9423076923076923,0.8484848484848485,0.8883502344412003
GitLab,166,0.26506024096385544,0.32142857142857145,0.20454545454545456,0.25,0.3014763014331935
"MediaTek, Inc.",159,0.3584905660377358,0.47058823529411764,0.5614035087719298,0.512,0.6895899202889886
QNAP Systems Inc.,145,0.3586206896551724,0.36428571428571427,0.9807692307692307,0.53125,0.5887795059475034
Liferay,144,0.06944444444444445,0.12162162162162163,0.9,0.21428571428571427,0.5230996196785671
LabRedesCefetRJ,134,0.4925373134328358,0.7926829268292683,0.9848484848484849,0.8783783783783784,0.9707198239200909
Mattermost,119,0.13445378151260504,0.23636363636363636,0.8125,0.36619718309859156,0.4281825935502406
HCL Software,116,0.10344827586206896,0.1016949152542373,0.5,0.16901408450704225,0.21802369662434187
Ivanti,105,0.6285714285714286,0.6483516483516484,0.8939393939393939,0.7515923566878981,0.8668550879608623
Nagios,104,0.46153846153846156,0.8269230769230769,0.8958333333333334,0.86,0.9624084658322569
