feature,coefficient,odds_ratio,absolute_coefficient
categorical__primary_vendor_SonicWall,6.763067069337695,865.2920407692499,6.763067069337695
categorical__primary_vendor_Linux Kernel,6.3598853816786765,578.1800825652152,6.3598853816786765
categorical__primary_vendor_Trend Micro,5.6959322185220245,297.6541429961524,5.6959322185220245
categorical__primary_vendor_VMware,5.637403991212069,280.73298638991776,5.637403991212069
categorical__primary_cwe_CWE-782,5.6315254824267145,279.08753619825364,5.6315254824267145
categorical__primary_vendor_Apple,5.554151796320931,258.3077739703859,5.554151796320931
categorical__primary_vendor_Atlassian,5.5494062014914745,257.08485397031876,5.5494062014914745
categorical__primary_vendor_Ivanti,5.500929585421129,244.91950007259217,5.500929585421129
categorical__primary_vendor_Spring by VMware,5.445999030439817,231.828768057034,5.445999030439817
categorical__primary_vendor_QNAP Systems Inc.,5.268990540069102,194.2198063438966,5.268990540069102
categorical__primary_vendor_Microsoft,5.218843968315986,184.72051782071333,5.218843968315986
categorical__primary_vendor_Google,5.181772984372861,177.9981192763139,5.181772984372861
categorical__primary_vendor_Joomla! Project,5.019789119618949,151.37937748704744,5.019789119618949
categorical__primary_cwe_CWE-95,4.735440918735778,113.91367432016575,4.735440918735778
categorical__primary_vendor_Zabbix,4.681269322257245,107.90695437836398,4.681269322257245
categorical__primary_vendor_Arm Ltd,4.659577196895897,105.59142833377109,4.659577196895897
categorical__primary_vendor_minio,4.537098821659113,93.41938030844011,4.537098821659113
categorical__primary_vendor_Samsung Mobile,4.351744590198078,77.61374906736813,4.351744590198078
categorical__primary_vendor_ASUS,4.348774923391775,77.38360398928548,4.348774923391775
categorical__primary_vendor_Citrix,4.300350197764975,73.72560772237124,4.300350197764975
categorical__primary_vendor_Hitachi Vantara,4.221140467873083,68.11111855382313,4.221140467873083
categorical__primary_vendor_Apache,4.156110603964425,63.82280706408765,4.156110603964425
categorical__primary_vendor_SolarWinds,4.079398602463512,59.10991060371341,4.079398602463512
numeric__missingindicator_cvss_score,-4.040410407719336,0.017590251758911195,4.040410407719336
categorical__primary_vendor_F5,4.023475234368102,55.8950169722853,4.023475234368102
categorical__primary_vendor_Zyxel,3.9386605688080443,51.34977572594881,3.9386605688080443
categorical__primary_cwe_CWE-703,3.879218094120984,48.38636669175772,3.879218094120984
categorical__primary_vendor_Facebook,3.8442702251465337,46.72457348703094,3.8442702251465337
categorical__primary_vendor_Linux,3.7470310458990843,42.39502607900051,3.7470310458990843
categorical__primary_cwe_CWE-1188,3.714373073769437,41.03285444623542,3.714373073769437
categorical__primary_vendor_grafana,3.6968901040881232,40.321712843085216,3.6968901040881232
"categorical__primary_vendor_McAfee,LLC",3.68459391672031,39.82894529671532,3.68459391672031
"categorical__primary_vendor_Trend Micro, Inc.",3.5438717464939424,34.60062503493256,3.5438717464939424
categorical__primary_cwe_CWE-912,3.5241584430144686,33.925211600843106,3.5241584430144686
categorical__primary_vendor_Drupal,3.491887567277211,32.847891831734906,3.491887567277211
categorical__primary_vendor_Juniper Networks,3.3208459532256027,27.68375982146774,3.3208459532256027
categorical__primary_vendor_Sophos,3.2652106897249444,26.1856274523171,3.2652106897249444
categorical__primary_vendor_metabase,3.252029256523275,25.842728269432847,3.252029256523275
categorical__primary_vendor_Cacti,3.2123580332220523,24.837585077130218,3.2123580332220523
categorical__primary_vendor_Fortinet,3.1716297557755833,23.84631637631986,3.1716297557755833
categorical__primary_vendor_Ubuntu,3.1535315223329703,23.418622105241997,3.1535315223329703
categorical__primary_vendor_Apache Software Foundation,3.092248819009519,22.026556059264706,3.092248819009519
categorical__primary_cwe_CWE-822,3.0876175264160843,21.924780491459433,3.0876175264160843
categorical__primary_vendor_x-stream,3.06836102418464,21.506624935079568,3.06836102418464
categorical__primary_cwe_CWE-303,2.9533584753962145,19.170228475913664,2.9533584753962145
categorical__primary_vendor_xwiki,-2.952702046567067,0.05219847252123111,2.952702046567067
categorical__primary_vendor_octobercms,2.922367722801882,18.58524010214475,2.922367722801882
categorical__primary_cwe_CWE-94,2.919760761574699,18.536852201895154,2.919760761574699
categorical__primary_cwe_CWE-288,2.887947823650302,17.956422019990235,2.887947823650302
categorical__primary_vendor_Cisco,2.8219016895902507,16.80878538975618,2.8219016895902507
categorical__primary_vendor_Palo Alto Networks,2.815362905781635,16.699234929719516,2.815362905781635
