Unnamed: 0,primary_vendor,rows,prevalence,precision,recall,f1,pr_auc
0,MISSING,5974,0.459826,0.607971,0.916272,0.730942,0.675293
1,Linux,2721,0.70011,0.822372,0.702362,0.757644,0.858494
2,Microsoft,1254,0.736045,0.844081,0.950163,0.893986,0.953122
3,Adobe,829,0.361882,0.916107,0.91,0.913043,0.979991
4,Apple,727,0.392022,0.502273,0.775439,0.609655,0.589033
5,IBM,606,0.217822,0.622222,0.848485,0.717949,0.831382
6,Google,577,0.606586,0.711297,0.971429,0.821256,0.891526
7,PHPGurukul,505,0.009901,0.131579,1.0,0.232558,1.0
8,SourceCodester,355,0.002817,0.012987,1.0,0.025641,1.0
9,Oracle Corporation,313,0.220447,0.77381,0.942029,0.849673,0.953134
10,Tenda,284,0.866197,0.888372,0.776423,0.828633,0.875316
11,Siemens,275,0.72,0.754789,0.994949,0.858388,0.919861
12,"Qualcomm, Inc.",273,0.78022,0.80695,0.981221,0.885593,0.848207
13,Red Hat,266,0.387218,0.455026,0.834951,0.589041,0.524181
14,Cisco,238,0.336134,0.579365,0.9125,0.708738,0.810976
