Unnamed: 0,primary_cwe,rows,prevalence,precision,recall,f1,pr_auc
0,MISSING,10437,0.537415,0.663753,0.839365,0.741301,0.695112
1,CWE-79,7030,0.22091,0.400424,0.1217,0.186667,0.467786
2,CWE-74,2536,0.024448,0.058663,0.693548,0.108176,0.372857
3,CWE-862,2123,0.190297,0.318976,0.678218,0.433888,0.596791
4,CWE-352,1741,0.389431,0.542289,0.160767,0.248009,0.384001
5,CWE-89,1201,0.802664,0.805369,0.995851,0.890538,0.904874
6,CWE-119,1070,0.665421,0.817185,0.627809,0.710087,0.851498
7,CWE-22,895,0.513966,0.661786,0.982609,0.790901,0.826338
8,CWE-98,575,0.97913,0.979094,0.998224,0.988566,0.992685
9,CWE-284,570,0.268421,0.617925,0.856209,0.717808,0.743716
10,CWE-200,570,0.22807,0.355102,0.669231,0.464,0.404822
11,CWE-78,557,0.797127,0.808394,0.997748,0.893145,0.841016
12,CWE-20,537,0.484171,0.62341,0.942308,0.750383,0.840147
13,CWE-125,534,0.395131,0.595745,0.92891,0.725926,0.819591
14,CWE-502,527,0.903226,0.903226,1.0,0.949153,0.946123
